2023-07-04 09:27:44 install e2fsprogs:amd64 <none> 1.47.0-2
2023-07-04 09:27:44 status half-installed e2fsprogs:amd64 1.47.0-2
2023-07-04 09:27:44 status unpacked e2fsprogs:amd64 1.47.0-2
2023-07-04 09:27:44 install findutils:amd64 <none> 4.9.0-4
2023-07-04 09:27:44 status half-installed findutils:amd64 4.9.0-4
2023-07-04 09:27:44 status unpacked findutils:amd64 4.9.0-4
2023-07-04 09:27:44 install gcc-12-base:amd64 <none> 12.2.0-14
2023-07-04 09:27:44 status half-installed gcc-12-base:amd64 12.2.0-14
2023-07-04 09:27:44 status unpacked gcc-12-base:amd64 12.2.0-14
2023-07-04 09:27:44 install gpgv:amd64 <none> 2.2.40-1.1
2023-07-04 09:27:44 status half-installed gpgv:amd64 2.2.40-1.1
2023-07-04 09:27:44 status unpacked gpgv:amd64 2.2.40-1.1
2023-07-04 09:27:44 install grep:amd64 <none> 3.8-5
2023-07-04 09:27:44 status half-installed grep:amd64 3.8-5
2023-07-04 09:27:45 status unpacked grep:amd64 3.8-5
2023-07-04 09:27:45 install gzip:amd64 <none> 1.12-1
2023-07-04 09:27:45 status half-installed gzip:amd64 1.12-1
2023-07-04 09:27:45 status unpacked gzip:amd64 1.12-1
2023-07-04 09:27:45 install hostname:amd64 <none> 3.23+nmu1
2023-07-04 09:27:45 status half-installed hostname:amd64 3.23+nmu1
2023-07-04 09:27:45 status unpacked hostname:amd64 3.23+nmu1
2023-07-04 09:27:45 install init-system-helpers:all <none> 1.65.2
2023-07-04 09:27:45 status half-installed init-system-helpers:all 1.65.2
2023-07-04 09:27:45 status unpacked init-system-helpers:all 1.65.2
2023-07-04 09:27:45 install libacl1:amd64 <none> 2.3.1-3
2023-07-04 09:27:45 status half-installed libacl1:amd64 2.3.1-3
2023-07-04 09:27:45 status unpacked libacl1:amd64 2.3.1-3
2023-07-04 09:27:45 install libapt-pkg6.0:amd64 <none> 2.6.1
2023-07-04 09:27:45 status half-installed libapt-pkg6.0:amd64 2.6.1
2023-07-04 09:27:45 status unpacked libapt-pkg6.0:amd64 2.6.1
2023-07-04 09:27:45 install libattr1:amd64 <none> 1:2.5.1-4
2023-07-04 09:27:45 status half-installed libattr1:amd64 1:2.5.1-4
2023-07-04 09:27:45 status unpacked libattr1:amd64 1:2.5.1-4
2023-07-04 09:27:45 install libaudit-common:all <none> 1:3.0.9-1
2023-07-04 09:27:45 status half-installed libaudit-common:all 1:3.0.9-1
2023-07-04 09:27:45 status unpacked libaudit-common:all 1:3.0.9-1
2023-07-04 09:27:45 install libaudit1:amd64 <none> 1:3.0.9-1
2023-07-04 09:27:45 status half-installed libaudit1:amd64 1:3.0.9-1
2023-07-04 09:27:46 status unpacked libaudit1:amd64 1:3.0.9-1
2023-07-04 09:27:46 install libblkid1:amd64 <none> 2.38.1-5+b1
2023-07-04 09:27:46 status half-installed libblkid1:amd64 2.38.1-5+b1
2023-07-04 09:27:46 status unpacked libblkid1:amd64 2.38.1-5+b1
2023-07-04 09:27:46 install libbz2-1.0:amd64 <none> 1.0.8-5+b1
2023-07-04 09:27:46 status half-installed libbz2-1.0:amd64 1.0.8-5+b1
2023-07-04 09:27:46 status unpacked libbz2-1.0:amd64 1.0.8-5+b1
2023-07-04 09:27:46 install libc-bin:amd64 <none> 2.36-9
2023-07-04 09:27:46 status half-installed libc-bin:amd64 2.36-9
2023-07-04 09:27:46 status unpacked libc-bin:amd64 2.36-9
2023-07-04 09:27:46 upgrade libc6:amd64 2.36-9 2.36-9
2023-07-04 09:27:46 status half-configured libc6:amd64 2.36-9
2023-07-04 09:27:46 status unpacked libc6:amd64 2.36-9
2023-07-04 09:27:46 status half-installed libc6:amd64 2.36-9
2023-07-04 09:27:47 status unpacked libc6:amd64 2.36-9
2023-07-04 09:27:47 install libcap-ng0:amd64 <none> 0.8.3-1+b3
2023-07-04 09:27:47 status half-installed libcap-ng0:amd64 0.8.3-1+b3
2023-07-04 09:27:47 status unpacked libcap-ng0:amd64 0.8.3-1+b3
2023-07-04 09:27:47 install libcap2:amd64 <none> 1:2.66-4
2023-07-04 09:27:47 status half-installed libcap2:amd64 1:2.66-4
2023-07-04 09:27:47 status unpacked libcap2:amd64 1:2.66-4
2023-07-04 09:27:47 install libcom-err2:amd64 <none> 1.47.0-2
2023-07-04 09:27:47 status half-installed libcom-err2:amd64 1.47.0-2
2023-07-04 09:27:47 status unpacked libcom-err2:amd64 1.47.0-2
2023-07-04 09:27:47 install libcrypt1:amd64 <none> 1:4.4.33-2
2023-07-04 09:27:47 status half-installed libcrypt1:amd64 1:4.4.33-2
2023-07-04 09:27:48 status unpacked libcrypt1:amd64 1:4.4.33-2
2023-07-04 09:27:48 install libdb5.3:amd64 <none> 5.3.28+dfsg2-1
2023-07-04 09:27:48 status half-installed libdb5.3:amd64 5.3.28+dfsg2-1
2023-07-04 09:27:48 status unpacked libdb5.3:amd64 5.3.28+dfsg2-1
2023-07-04 09:27:48 install libdebconfclient0:amd64 <none> 0.270
2023-07-04 09:27:48 status half-installed libdebconfclient0:amd64 0.270
2023-07-04 09:27:48 status unpacked libdebconfclient0:amd64 0.270
2023-07-04 09:27:48 install libext2fs2:amd64 <none> 1.47.0-2
2023-07-04 09:27:48 status half-installed libext2fs2:amd64 1.47.0-2
2023-07-04 09:27:48 status unpacked libext2fs2:amd64 1.47.0-2
2023-07-04 09:27:48 install libffi8:amd64 <none> 3.4.4-1
2023-07-04 09:27:48 status half-installed libffi8:amd64 3.4.4-1
2023-07-04 09:27:48 status unpacked libffi8:amd64 3.4.4-1
2023-07-04 09:27:48 install libgcc-s1:amd64 <none> 12.2.0-14
2023-07-04 09:27:48 status half-installed libgcc-s1:amd64 12.2.0-14
2023-07-04 09:27:48 status unpacked libgcc-s1:amd64 12.2.0-14
2023-07-04 09:27:48 install libgcrypt20:amd64 <none> 1.10.1-3
2023-07-04 09:27:48 status half-installed libgcrypt20:amd64 1.10.1-3
2023-07-04 09:27:48 status unpacked libgcrypt20:amd64 1.10.1-3
2023-07-04 09:27:48 install libgmp10:amd64 <none> 2:6.2.1+dfsg1-1.1
2023-07-04 09:27:48 status half-installed libgmp10:amd64 2:6.2.1+dfsg1-1.1
2023-07-04 09:27:48 status unpacked libgmp10:amd64 2:6.2.1+dfsg1-1.1
2023-07-04 09:27:48 install libgnutls30:amd64 <none> 3.7.9-2
2023-07-04 09:27:48 status half-installed libgnutls30:amd64 3.7.9-2
2023-07-04 09:27:49 status unpacked libgnutls30:amd64 3.7.9-2
2023-07-04 09:27:49 install libgpg-error0:amd64 <none> 1.46-1
2023-07-04 09:27:49 status half-installed libgpg-error0:amd64 1.46-1
2023-07-04 09:27:49 status unpacked libgpg-error0:amd64 1.46-1
2023-07-04 09:27:49 install libhogweed6:amd64 <none> 3.8.1-2
2023-07-04 09:27:49 status half-installed libhogweed6:amd64 3.8.1-2
2023-07-04 09:27:49 status unpacked libhogweed6:amd64 3.8.1-2
2023-07-04 09:27:49 install libidn2-0:amd64 <none> 2.3.3-1+b1
2023-07-04 09:27:49 status half-installed libidn2-0:amd64 2.3.3-1+b1
2023-07-04 09:27:49 status unpacked libidn2-0:amd64 2.3.3-1+b1
2023-07-04 09:27:49 install liblz4-1:amd64 <none> 1.9.4-1
2023-07-04 09:27:49 status half-installed liblz4-1:amd64 1.9.4-1
2023-07-04 09:27:49 status unpacked liblz4-1:amd64 1.9.4-1
2023-07-04 09:27:49 install liblzma5:amd64 <none> 5.4.1-0.2
2023-07-04 09:27:49 status half-installed liblzma5:amd64 5.4.1-0.2
2023-07-04 09:27:49 status unpacked liblzma5:amd64 5.4.1-0.2
2023-07-04 09:27:49 install libmd0:amd64 <none> 1.0.4-2
2023-07-04 09:27:49 status half-installed libmd0:amd64 1.0.4-2
2023-07-04 09:27:49 status unpacked libmd0:amd64 1.0.4-2
2023-07-04 09:27:49 install libmount1:amd64 <none> 2.38.1-5+b1
2023-07-04 09:27:49 status half-installed libmount1:amd64 2.38.1-5+b1
2023-07-04 09:27:50 status unpacked libmount1:amd64 2.38.1-5+b1
